technique,threshold,accuracy,balanced_accuracy,precision,recall,f1,auc,loss
Extra Trees,0.5,0.8725490196078431,0.7808049535603715,0.9044776119402985,0.9380804953560371,0.9209726443768997,0.895319613913677,0.4020881848776469
Random Forest,0.5,0.8799019607843137,0.8331269349845201,0.9335443037974683,0.913312693498452,0.9233176838810642,0.9072300127481333,0.3204398132532146
Hist Gradient Boosting,0.5,0.8553921568627451,0.7873065015479876,0.9125,0.9040247678018576,0.9082426127527217,0.8961573483882718,0.5065038749909718
ET + RF Average,0.5,0.8774509803921569,0.8012383900928792,0.9148936170212766,0.9318885448916409,0.9233128834355828,0.9040611910398835,0.3283539746546082
ET + RF + HGB Average,0.5,0.875,0.808359133126935,0.9197530864197531,0.9226006191950464,0.9211746522411128,0.9050810417046076,0.3355087512627891
Consolidated Stacked Model,0.4199999999999998,0.8823529411764706,0.8,0.9129129129129129,0.9411764705882353,0.926829268292683,0.9051538881806592,0.520626826479479
