epoch,train_accuracy,validation_accuracy,train_loss,validation_loss
1,0.7939914163090128,0.7916666666666666,0.5246531918060467,0.5352424167451036
2,0.8436541998773759,0.8333333333333334,0.356873036358353,0.37561335941549706
3,0.858982219497241,0.8553921568627451,0.3244172798881043,0.35543739215027115
4,0.8724708767627223,0.8504901960784313,0.3064312860425933,0.3483479820882695
5,0.8773758430410791,0.8529411764705882,0.29374168852285915,0.34298921581691083
6,0.8847332924586143,0.8529411764705882,0.28415196051656716,0.3420477244755074
7,0.8816676885346413,0.8480392156862745,0.2784487260974866,0.34500437616078655
8,0.8853464132434089,0.8504901960784313,0.27133831993704277,0.34736921915957886
9,0.8884120171673819,0.8480392156862745,0.26515974306011253,0.35005702761912616
10,0.8920907418761496,0.8480392156862745,0.25899981524074495,0.3553587861466195
11,0.8927038626609443,0.8504901960784313,0.25453790847990776,0.357028260764182
12,0.894543225015328,0.8480392156862745,0.24897212984355388,0.36488957499297137
13,0.8988350705088902,0.8578431372549019,0.24434237183479796,0.36613222160400677
14,0.8982219497240956,0.8578431372549019,0.23882433816720014,0.3706128219815049
15,0.9012875536480687,0.8578431372549019,0.2345948438662589,0.37409360993179847
16,0.9000613120784795,0.8578431372549019,0.2312003945339636,0.3812797182534562
17,0.9049662783568363,0.8602941176470589,0.2246405169015239,0.3839964076699115
18,0.9037400367872471,0.8529411764705882,0.22324872217856603,0.39051864865610886
19,0.9104843654199878,0.8529411764705882,0.21653056828314887,0.3931049342404431
20,0.9110974862047824,0.8529411764705882,0.2131858401541738,0.402892987141361
