design_key,rank_baseline,pred_BW_baseline,physics_guided_score_baseline,rank_after_feedback,pred_BW_after_feedback,physics_guided_score_after_feedback
6.0_12.25_3.3_3.6,4,2.7758077161987607,1.2845214643880083,4,2.646569018554988,2.0934519481459297
6.5_12.75_3.3_3.5,25,2.6053397012872708,1.1595515662162763,14,2.676726653211573,1.848001398245165
6.5_12.25_3.3_3.3,22,2.644935498354056,1.1651410318638007,15,2.641022184925947,1.8125284251067812
6.0_12.25_3.3_3.4,19,2.587203066421732,1.2010680895171404,18,2.420678408735979,1.7726504324834325
6.5_12.25_3.3_3.5,11,2.664012056263492,1.234547710511371,23,2.560921902172313,1.7499487523870805
