technique,threshold_baseline,accuracy_baseline,balanced_accuracy_baseline,precision_baseline,recall_baseline,f1_baseline,auc_baseline,loss_baseline,threshold_after_feedback,accuracy_after_feedback,balanced_accuracy_after_feedback,precision_after_feedback,recall_after_feedback,f1_after_feedback,auc_after_feedback,loss_after_feedback,accuracy_delta,balanced_accuracy_delta,precision_delta,recall_delta,f1_delta,auc_delta,loss_delta
Extra Trees,0.5,0.8725490196078431,0.7808049535603715,0.9044776119402984,0.9380804953560372,0.9209726443768996,0.895319613913677,0.4020881848776469,0.5,0.8789346246973365,0.7799677187948351,0.9040697674418604,0.948170731707317,0.925595238095238,0.9092001434720228,0.3627728776515823,0.006385605089493374,-0.0008372347655364321,-0.00040784449843800363,0.010090236351279813,0.004622593718338397,0.013880529558345844,-0.03931530722606463
Random Forest,0.5,0.8799019607843137,0.8331269349845201,0.9335443037974684,0.913312693498452,0.9233176838810642,0.9072300127481332,0.3204398132532146,0.5,0.8910411622276029,0.8398852223816355,0.9353846153846154,0.926829268292683,0.9310872894333844,0.9229913916786228,0.2758421150879185,0.01113920144328917,0.006758287397115481,0.0018403115871469256,0.013516574794230962,0.007769605552320202,0.015761378930489567,-0.044597698165296074
Hist Gradient Boosting,0.5,0.8553921568627451,0.7873065015479876,0.9125,0.9040247678018576,0.9082426127527216,0.8961573483882718,0.5065038749909718,0.5,0.8765133171912833,0.8133070301291249,0.9235474006116208,0.9207317073170732,0.9221374045801528,0.90961262553802,0.3866379429135798,0.02112116032853828,0.026000528581137217,0.011047400611620795,0.016706939515215624,0.013894791827431252,0.013455277149748257,-0.11986593207739205
ET + RF Average,0.5,0.8774509803921569,0.8012383900928792,0.9148936170212766,0.9318885448916407,0.9233128834355828,0.9040611910398836,0.3283539746546082,0.5,0.8934624697336562,0.8239777618364419,0.9251497005988024,0.9420731707317072,0.9335347432024168,0.9199784791965568,0.2747783645490927,0.01601148934149932,0.022739371743562664,0.010256083577525832,0.010184625840066408,0.010221859766833985,0.01591728815667326,-0.05357561010551548
ET + RF + HGB Average,0.5,0.875,0.808359133126935,0.9197530864197532,0.9226006191950464,0.9211746522411128,0.9050810417046076,0.3355087512627891,0.5,0.900726392251816,0.8416248206599712,0.9335347432024168,0.9420731707317072,0.9377845220030347,0.919942611190818,0.2764069429366979,0.025726392251816055,0.03326568753303627,0.013781656782663632,0.01947255153666072,0.016609869761921914,0.014861569486210424,-0.05910180832609124
Consolidated Stacked Model,0.4199999999999998,0.8823529411764706,0.8,0.9129129129129128,0.9411764705882352,0.926829268292683,0.9051538881806592,0.520626826479479,0.4899999999999998,0.8910411622276029,0.7875896700143472,0.9054441260744984,0.9634146341463414,0.9335302806499262,0.9199067431850788,0.6712909981203927,0.008688221051132317,-0.012410329985652835,-0.007468786838414343,0.02223816355810626,0.006701012357243186,0.014752855004419585,0.15066417164091372
