technique,threshold,accuracy,balanced_accuracy,precision,recall,f1,auc,loss
Extra Trees,0.5,0.8789346246973365,0.7799677187948351,0.9040697674418605,0.948170731707317,0.9255952380952381,0.9092001434720229,0.3627728776515823
Random Forest,0.5,0.8910411622276029,0.8398852223816355,0.9353846153846154,0.926829268292683,0.9310872894333844,0.9229913916786227,0.2758421150879185
Hist Gradient Boosting,0.5,0.8765133171912833,0.8133070301291249,0.9235474006116208,0.9207317073170732,0.9221374045801527,0.9096126255380201,0.3866379429135798
ET + RF Average,0.5,0.8934624697336562,0.8239777618364419,0.9251497005988024,0.9420731707317073,0.9335347432024169,0.9199784791965568,0.27477836454909277
ET + RF + HGB Average,0.5,0.9007263922518159,0.8416248206599712,0.9335347432024169,0.9420731707317073,0.9377845220030349,0.9199426111908179,0.27640694293669793
Consolidated Stacked Model,0.4899999999999998,0.8910411622276029,0.7875896700143472,0.9054441260744985,0.9634146341463414,0.9335302806499262,0.9199067431850789,0.6712909981203927
